UID_01,BIOCHEMICAL,BIOCHEMICAL_NAME1,BIOCHEMICAL_NAME2,BIOCHEMICAL_NAME3,NCI_METABOLON_NAME1,NCI_METABOLON_NAME2,NCI_METABOLON_NAME3,ABC_BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_BATCH1_METABOLON_NAME,ARIC_BATCH2_METABOLON_NAME,UCLEB_NMR_NAME,SHANGHAI_CHD_METABOLON_NAME,HCI_WCMC_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
HMDB61702,2-palmitoyl-GPC (16:0)* or 2-palmitoylglycerophosphocholine*,2-palmitoyl-GPC (16:0),2-palmitoylglycerophosphocholine,,_2_palmitoylglycerophosphocho,,,,2-palmitoyl-GPC (16:0)*,,2-palmitoylglycerophosphocholine*,2-palmitoylglycerophosphocholine*,,2-palmitoylglycerophosphocholine*,,HMDB61702,HMDB61702,,100001562,35253,15061532,,,,,,,LIPID,LYSOLIPID,
HMDB11533,2-palmitoylglycerol (2-monopalmitin) or 2-palmitoylglycerol (16:0),2-palmitoylglycerol (2-monopalmitin),2-palmitoylglycerol (16:0),,_2_palmitoylglycerol,_2_palmitoylglycerol__16_0_,,,,,,2-palmitoylglycerol (2-monopalmitin),,,,HMDB11533,HMDB11533,,100001048,33419,123409,,,,,23470-00-0,,LIPID,MONOACYLGLYCEROL,
CHEM100001652,2-palmitoylglycerophosphoethanolamine*,2-palmitoylglycerophosphoethanolamine*,,,_2_palmitoylglycerophosphoeth,,,,2-palmitoyl-GPE (16:0)*,,2-palmitoylglycerophosphoethanolamine*,2-palmitoylglycerophosphoethanolamine*,,2-palmitoylglycerophosphoethanolamine*,,,,,100001652,35688;45452,,,,,,,,LIPID,LYSOLIPID,
HMDB02210,2-phenylglycine,2-phenylglycine,,,_2_phenylglycine,,,,,,,,,,,HMDB02210,HMDB02210,,100002117,37441,3866,,,,,341659,C18623,AMINO ACID,"GLYCINE, SERINE AND THREONINE METABOLISM",
HMDB11743,2-phenylpropionate,2-phenylpropionate,,,_2_phenylpropionate,,,,,,,,,,,HMDB11743,HMDB11743,,,15672,10296,,,,,492-37-5,,XENOBIOTICS,BACTERIAL,
HMDB11749,2-piperidinone,2-piperidinone,,,_2_piperidinone,,,,2-piperidinone,,,2-piperidinone,,,piperidone (intermediate of pharmaceutical drugs: anethetics),HMDB11749,HMDB11749,,100004295,43400,12665,12144,,"InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)",XUWHAWMETYGRKB-UHFFFAOYSA-N,675-20-7,,XENOBIOTICS,CHEMICAL; FOOD COMPONENT/PLANT,
COMP32707,2-piperidone (X - 11390),2-piperidone,X - 11390,,x_11390,,,,,,,,,2-piperidone,,,,,,32707,,,,,,,,,,
HMDB01877,2-propylpentanoate (valproate),2-propylpentanoate (valproate),,,_2_propylpentanoate,,,,2-propylpentanoate (valproate),,,2-propylpentanoate (valproate),,,,HMDB01877,HMDB01877,,100000779,22290,3121,,,,,99-66-1,C07185,XENOBIOTICS,DRUG,
HMDB02039,2-pyrrolidinone,2-pyrrolidinone,,,_2_pyrrolidinone,,,,2-pyrrolidinone,,,2-pyrrolidinone,,,,HMDB02039,HMDB02039,,100001081,31675,12025,,,,,616-45-5,,XENOBIOTICS,CHEMICAL,
CHEM100003901,2-stearoyl-GPE (18:0)* or 2-stearoylglycerophosphoethanolamine*,2-stearoyl-GPE (18:0),2-stearoylglycerophosphoethanolamine,,_2_stearoylglycerophosphoetha,,,,2-stearoyl-GPE (18:0)*,,,2-stearoylglycerophosphoethanolamine*,,,,,,,100003901,41220,,,,,,,,LIPID,LYSOLIPID,
CHEM100001047,2-stearoylglycerol (2-monostearin),2-stearoylglycerol (2-monostearin),,,_2_stearoylglycerol,,,,,,,2-stearoylglycerol (2-monostearin),,,,,,,100001047,34059,79075,,,,,621-61-4,,LIPID,MONOACYLGLYCEROL,
CHEM100001555,2-stearoylglycerophosphocholine*,2-stearoylglycerophosphocholine*,,,_2_stearoylglycerophosphochol,,,,,,2-stearoylglycerophosphocholine*,2-stearoylglycerophosphocholine*,,2-stearoylglycerophosphocholine*,,,,,100001555,35255,10208382,,,,,,,LIPID,LYSOLIPID,
CHEM100003008,2-stearoylglycerophosphoinositol*,2-stearoylglycerophosphoinositol*,,,_2_stearoylglycerophosphoinos,,,,,,,2-stearoylglycerophosphoinositol*,,,,,,,100003008,39223,,,,,,,,LIPID,LYSOLIPID,
HMDB05998,20-HETE,20-HETE,,,_20_hete,,,,,,,,,,,HMDB05998,HMDB05998,,100002819,44530,5283157,,,,,79551-86-3,C14748,LIPID,EICOSANOID,
HMDB04026,21-hydroxypregnenolone disulfate,21-hydroxypregnenolone disulfate,,,_21_hydroxypregnenolone_disul,,,,21-hydroxypregnenolone disulfate,,21-hydroxypregnenolone disulfate,21-hydroxypregnenolone disulfate,,21-hydroxypregnenolone disulfate,,HMDB04026,HMDB04026,,100001999,37173;46115,134595,,,,,1164-98-3,C05485,LIPID,STEROL/STEROID,
